time bp_transducer_voltage trigger
2015-04-14-13-42-671000: 2.47016466086 -1.0
2015-04-14-13-42-687000: 2.43481544891 -1.0
2015-04-14-13-42-703000: 2.41557983786 -1.0
2015-04-14-13-42-718000: 2.3962938718 -1.0
2015-04-14-13-42-734000: 2.36930359031 -1.0
2015-04-14-13-42-750000: 2.34568709401 -1.0
2015-04-14-13-42-765000: 2.32992597815 -1.0
2015-04-14-13-42-781000: 2.31522231734 -1.0
2015-04-14-13-42-796000: 2.30228108163 -1.0
2015-04-14-13-42-812000: 2.30827332696 -1.0
2015-04-14-13-42-828000: 2.29170653104 -1.0
2015-04-14-13-42-843000: 2.26753612971 -1.0
2015-04-14-13-42-859000: 2.28571428571 -1.0
2015-04-14-13-42-875000: 2.27579435017 -1.0
2015-04-14-13-42-890000: 2.33778135858 -1.0
2015-04-14-13-42-906000: 2.67385064706 -1.0
2015-04-14-13-42-921000: 2.72319854978 -1.0
2015-04-14-13-42-937000: 2.77647414271 -1.0
2015-04-14-13-42-953000: 2.78427916814 2.78727916814
2015-04-14-13-42-968000: 2.76761166222 -1.0
2015-04-14-13-42-984000: 2.73765043557 -1.0
2015-04-14-13-42-000000: 2.71655168941 -1.0
2015-04-14-13-42-015000: 2.69223022307 -1.0
2015-04-14-13-42-031000: 2.62792688454 -1.0
2015-04-14-13-42-046000: 2.52228208873 -1.0
2015-04-14-13-42-062000: 2.51538345335 -1.0
2015-04-14-13-42-078000: 2.49216979707 -1.0
2015-04-14-13-42-093000: 2.4871846518 -1.0
2015-04-14-13-42-109000: 2.47177602095 -1.0
2015-04-14-13-42-125000: 2.44851200967 -1.0
2015-04-14-13-42-156000: 2.43259982879 -1.0
2015-04-14-13-42-156000: 2.42388841331 -1.0
2015-04-14-13-42-171000: 2.41119895262 -1.0
2015-04-14-13-42-203000: 2.38869026638 -1.0
2015-04-14-13-42-218000: 2.37554761066 -1.0
2015-04-14-13-42-234000: 2.3654262551 -1.0
2015-04-14-13-42-250000: 2.36059217483 -1.0
2015-04-14-13-42-265000: 2.35510347953 -1.0
2015-04-14-13-42-281000: 2.35122614432 -1.0
2015-04-14-13-42-296000: 2.33904023365 -1.0
2015-04-14-13-42-312000: 2.33254443829 -1.0
2015-04-14-13-42-328000: 2.35188075935 -1.0
2015-04-14-13-42-343000: 2.71866659953 -1.0
2015-04-14-13-42-359000: 2.78488342817 -1.0
2015-04-14-13-42-375000: 2.82677879047 -1.0
2015-04-14-13-42-390000: 2.83725263105 -1.0
2015-04-14-13-42-406000: 2.81942696007 2.82242696007
2015-04-14-13-42-421000: 2.79842892391 -1.0
2015-04-14-13-42-437000: 2.77169041744 -1.0
2015-04-14-13-42-453000: 2.74399516592 -1.0
2015-04-14-13-42-468000: 2.69540258825 -1.0
2015-04-14-13-42-484000: 2.58457122715 -1.0
2015-04-14-13-42-500000: 2.57213354147 -1.0
2015-04-14-13-42-515000: 2.55153834533 -1.0
2015-04-14-13-42-531000: 2.527216879 -1.0
2015-04-14-13-42-546000: 2.50934085301 -1.0
2015-04-14-13-42-562000: 2.48713429679 -1.0
2015-04-14-13-42-578000: 2.46759655572 -1.0
2015-04-14-13-42-593000: 2.44277153935 -1.0
2015-04-14-13-42-609000: 2.43728284405 -1.0
2015-04-14-13-42-625000: 2.41653658291 -1.0
2015-04-14-13-42-640000: 2.39966765698 -1.0
2015-04-14-13-42-656000: 2.37111637041 -1.0
2015-04-14-13-42-671000: 2.35928294476 -1.0
2015-04-14-13-42-687000: 2.34714738909 -1.0
2015-04-14-13-42-703000: 2.33989626869 -1.0
2015-04-14-13-42-718000: 2.34201117881 -1.0
2015-04-14-13-42-734000: 2.33123520822 -1.0
2015-04-14-13-42-750000: 2.32604864293 -1.0
2015-04-14-13-42-765000: 2.67782869228 -1.0
2015-04-14-13-42-781000: 2.79656578881 -1.0
2015-04-14-13-42-796000: 2.78825721335 -1.0
2015-04-14-13-42-828000: 2.84742434161 -1.0
2015-04-14-13-42-828000: 2.83866257113 2.84166257113
2015-04-14-13-42-843000: 2.80245732414 -1.0
2015-04-14-13-42-875000: 2.78448058815 -1.0
2015-04-14-13-42-890000: 2.75235409638 -1.0
2015-04-14-13-42-906000: 2.69902814845 -1.0
2015-04-14-13-42-921000: 2.60738204341 -1.0
2015-04-14-13-42-937000: 2.58653507226 -1.0
2015-04-14-13-42-953000: 2.5545596455 -1.0
2015-04-14-13-42-968000: 2.5236920288 -1.0
2015-04-14-13-42-984000: 2.51211037817 -1.0
2015-04-14-13-42-000000: 2.48783926683 -1.0
2015-04-14-13-42-015000: 2.49247192709 -1.0
2015-04-14-13-42-031000: 2.44614532454 -1.0
2015-04-14-13-42-046000: 2.41578125787 -1.0
2015-04-14-13-42-062000: 2.39800594189 -1.0
